텍스트,분류 1차,분류 2차,자동 생성 제목,템플릿 코드,버튼,공용/전용,업종분류,목적분류,,,업종분류
"[템플릿 내용] [투표 안내] 안녕하세요, #{수신자}님! #{투표명} 투표 링크를 전달드립니다.  👥 대상자 : #{대상자} 📅 기간 : #{기간}  #{추가 메시지 - 기간 내에 투표 부탁드립니다.}",서비스이용,이용안내/공지,(공용) 투표 안내_기본형_01,vote_recieved_non_01,투표하기,,기타,공지/안내,,,
"안녕하세요, 강의가 시작되었습니다. 을 위한 주소를 안내드립니다.  [장소] 📍 위치 : 위치  오시는 방법",서비스이용,방문서비스,(공용) 주소 안내_기본형_01,address_info_non_01,지도 확인하기,,교육,공지/안내,,,
"[템플릿 내용] [수업 일정 변경 공지] 안녕하세요, 입니다. 부득이하게 수업 일정이 변경되어 공지드립니다.  ✏️ 수업명 : #{수업명} ⚫️ 기존 일정 : #{기존일정} 🟣 변경 일정 : #{변경일정}  #{추가 메시지 - 변경된 일정에 참여가 어려우실 경우, 01000000000로 연락주세요.}",서비스이용,이용안내/공지,(공용) 수업 일정 공지_기본형_02,academy_schedule_non_02,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 수업 일정을 안내드립니다.  ✏️ 수업명 : #{수업명} ✏️ 일정 : #{일정}  #{추가 메시지 - 수업 시작 10분 전까지 강의실에 입장 부탁드립니다.}",서비스이용,이용안내/공지,(공용) 수업 일정 공지_기본형_01,academy_schedule_non_01,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 참석하신 수업 관련 자료 전달드립니다.  ✏️ 수업명 : #{수업명} ✏️ 자료명 : #{자료명}  #{추가 메시지 - 자료 열람 기간은 24일까지이며 비밀번호는 0000입니다.}",서비스이용,이용안내/공지,(공용) 수업 자료 전달_기본형_01,academy_materials_non_01,자료 받기,,교육,공지/안내,,,
신청하신 강의가 곧 시작됩니다.  ▶ 강의명 : #{강의명} ▶ 강의 일정 : #{강의일정}  아래 버튼 클릭 후 접속해 주세요.  #{추가 메시지 - 강의 시작 5분 전까지 입장 부탁드립니다.},서비스이용,이용안내/공지,(공용) 온라인 강의 접속 안내_기본형_01,onlineclass_access_non_01,강의 접속하기,,교육,공지/안내,,,
온라인 강의 신청이 정상 완료되었습니다.  ▶ 강의명 : #{강의명} ▶ 강의 일정 : #{강의일정} ▶ 안내사항 : #{안내사항},서비스이용,이용안내/공지,(공용) 온라인 강의 신청 완료 안내_기본형_01,onlineclass_apply_non_01,X,,교육,신청,,,
"안녕하세요, #{수신자}님! 회원이 되신 것을 환영합니다.  🔔 신규 회원 안내 사항 🔔 #{안내사항}",서비스이용,이용안내/공지,(공용) 회원 안내사항 전달_기본형_01,signup_done_non_02,X,,기타,회원 관리,,,
"#{수신자}님, 에 가입해주셔서 감사합니다! 신규 회원 특별 혜택을 안내드립니다.  🎁 신규 회원 특별 혜택 🎁 - 10만원 할인 쿠폰 증정 (6개월 사용 가능) - 이 메시지는 회원가입 사은품으로 지급된 쿠폰 안내 메시지입니다. - 사용 방법 : #{사용방법}  ▶ 자세한 내용은 아래 버튼을 클릭해서 확인해 주세요 !",회원,회원가입,(전용) 회원가입 안내_기본형_01 / 코주부스쿨,c0011_signup_done_non_01,채널 추가,,서비스업,쿠폰,,,
"안녕하세요, #{수신자}님! 자버에 가입해 주셔서 감사합니다.  🎁 신규 회원 제공 혜택 🎁 1. 테스트 발송 3건 무료 2. 요금제별 온보딩 프로그램  #{추가 메시지}",회원,회원가입,(전용) 회원가입 알림_기본형_02 / jober,c0002_signup_done_non_02,자버 바로가기,,기타,회원 관리,,,
무료강의를 신청해 주셔서 감사합니다.  ▶ 강의명 : #{강의명} ▶ 강의 일정 : #{강의일정}  ▶ 신청자 제공 혜택 #{강의 자료 증정},서비스이용,이용안내/공지,(전용) 무료강의 안내_기본형_02 / 코주부스쿨,c0011_class_register_non_02,채널 추가,,교육,신청,,,
"[템플릿 내용] [수강 신청 안내] 안녕하세요, 발신 스페이스입니다. 수강 신청 관련 안내드립니다.  ►대상 : #{대상} ►일정 : #{일정}  자세한 사항은 아래 버튼 클릭 후 확인 부탁드립니다.",서비스이용,이용안내/공지,(공용) 수강 신청 안내_기본형_01,academy_apply_non_01,자세히 확인하기,,교육,신청,,,
"[템플릿 내용] [수업 후기 작성 요청] 안녕하세요, 입니다. 수업은 어떠셨나요?  아래 버튼 클릭 후 후기를 남겨주세요!",서비스이용,이용안내/공지,(공용) 후기 작성 요청_기본형_01,academy_review_non_01,후기 작성하기,,교육,신청,,,
"[과제 안내] 안녕하세요, 발신 스페이스입니다. 과제 관련 안내드립니다.  ✏️ 수업명 : 수업명 ✏️ 과제명 : 과제명  추가 메시지",서비스이용,이용안내/공지,(공용) 과제 안내_기본형_01,academy_homework_non_01,과제 확인하기,,교육,공지/안내,,,
무료강의 안내  신청하신 강의 정보 안내드립니다.  ✔️ 강의명 : #{강의명} 📆 강의 일정 : #{강의일정}  아래 공지방에 입장하셔서 무료강의 일정과 혜택을 안내받으세요!  🔑 입장 코드 : #{입장코드},서비스이용,이용안내/공지,(전용) 무료강의 안내_기본형_01 / 코주부스쿨,c0011_class_register_non_01,공지방 입장하기,,교육,공지/안내,,,
"안녕하세요, #{수신자}님! 자세한 사항은 아래 버튼 클릭 후 확인해 주세요!",서비스이용,이용안내/공지,(전용) 회원가입 알림_기본형_01 / jober,c0002_signup_done_non_01,채널 추가,,기타,공지/안내,,,
"■ #{제목}  #{수신자}님, 계약서를 작성해 주세요.  #{추가 메시지}",법적고지,주문/예약,(공용) 계약서 알림_이미지형_01,cont_received_img_01,계약서 작성,,기타,신청,,,
"■ #{제목}  > #{수신자}님, 발송한 설문에 응답해 주세요.  #{추가 메시지}",서비스이용,피드백 요청,(공용) 설문조사 알림_이미지형_01,survey_received_img_01,설문 확인,,기타,공지/안내,,,
상담 문의가 접수되었습니다. 담당자 배정 후 연락해 주시기 바랍니다.  ■ #{제목}  #{문의내용},서비스이용,신청접수,(공용) 문의 접수 알림_기본형_03,inquiry_submitted_non_03,확인하기,,서비스업,공지/안내,,,
안녕하세요! #{수신자}님께서 보유하신 적립금이 소멸될 예정임을 안내드립니다.  - 소멸 예정 적립금 : #{소멸예정적립금}원 - 사용 가능 기한 : ~#{사용가능기한}  자세한 사항은 아래 버튼 클릭 후 확인 부탁드립니다.  ※ 이 메시지는 이용약관(계약서) 동의에 따라 지급된 적립금의 소멸 안내 메시지입니다.,쿠폰/포인트,쿠폰발급,(전용) 적립금 소멸 알림_이미지형_01 / BW컨설팅,c0010_point_expired_img_01,자세한 내용 확인하기,,기타,공지/안내,,,
안녕하세요! #{수신자}님께서 보유하신 적립금이 소멸될 예정임을 안내드립니다.  - 소멸 예정 적립금 : #{소멸예정적립금}원 - 사용 가능 기한 : ~#{사용가능기한}  자세한 사항은 아래 버튼 클릭 후 확인 부탁드립니다.  ※ 이 메시지는 이용약관(계약서) 동의에 따라 지급된 적립금의 소멸 안내 메시지입니다.,쿠폰/포인트,쿠폰발급,(전용) 적립금 소멸 알림_기본형_01 / BW컨설팅,c0010_point_expired_non_01,자세한 내용 확인하기,,기타,공지/안내,,,
■ #{발신 스페이스}  #{수신자}님께서 작성하신 [#{제목}] 문서가 작성 완료되었습니다.  완료된 문서를 확인해 주세요.,서비스이용,이용안내/공지,(공용) 문서 완료 알림_이미지형_02,doc_done_img_02,완료 문서 확인,,기타,공지/안내,,,
■ #{제목}  #{수신자}님의 급여명세서가 도착했습니다.  #{추가 메시지},법적고지,주문/예약,(공용) 급여명세서 알림_기본형_01,salary_received_non_01,급여명세서 확인,,기타,공지/안내,,,
■ #{제목}  인보이스가 도착했습니다.  #{추가 메시지},리포팅,피드백,(공용) 인보이스 알림_기본형_01,invoice_received_non_01,인보이스 확인,,기타,공지/안내,,,
담당자 배정이 완료되었습니다. 작성해 주신 연락처로 연락드리겠습니다.  ■ #{제목},서비스이용,방문서비스,(공용) 담당자 배정 알림_기본형_01,charge_assigned_non_01,작성 사항 확인,,기타,공지/안내,,,
남겨주신 문의에 대한 답변이 완료되었습니다.  ■ #{제목},서비스이용,이용안내/공지,(공용) 문의 답변 완료 알림_기본형_01,inquiry_answered_non_01,답변 확인,,기타,공지/안내,,,
도입 문의가 접수되었습니다. 담당자 배정 후 연락해 주시기 바랍니다.,서비스이용,신청접수,(공용) 문의 접수 알림_기본형_02,inquiry_submitted_non_02,도입 문의 확인,,기타,공지/안내,,,
"■ 제목 : #{제목}  #{수신자}님, 발송한 문서를 확인해 주세요.",서비스이용,이용안내/공지,(공용) 문서 도착 알림_이미지형_07,doc_received_img_07,문서 확인,,기타,공지/안내,,,
새로운 문의가 접수되었습니다.  ■ #{제목},서비스이용,신청접수,(공용) 문의 접수 알림_기본형_01,inquiry_submitted_non_01,문의 확인,,기타,공지/안내,,,
"안녕하세요, #{수신자}님! 참석 신청하신 정보를 안내드립니다.  [일시 및 장소] - 일시: #{일시} - 장소: #{장소}  #{추가 메시지 - 다양한 체험을 위해 정시에 참여 부탁드립니다.}",서비스이용,이용안내/공지,(전용예시) 행사 정보 알림_기본형_01,invi_received_non_01,자세히 확인하기,,기타,신청,,,
"■ #{제목}  #{수신자}님, 발송한 계약서를 작성해 주세요.  #{추가 메시지}",서비스이용,이용안내/공지,(공용) 계약서 알림_기본형_01,cont_received_non_01,계약서 작성,,기타,신청,,,
"■ #{제목}  > #{수신자}님, 발송한 설문에 응답해 주세요.  #{추가 메시지}",서비스이용,피드백 요청,(공용) 설문조사 알림_기본형_01,survey_received_non_01,설문 확인,,기타,공지/안내,,,
"■ #{제목}  > #{수신자}님, 사내 공지사항을 빠르게 확인해 주세요.  #{추가 메시지}",서비스이용,이용안내/공지,(공용) 공지 알림_기본형_01,notice_received_non_01,공지사항 확인,,기타,공지/안내,,,
■ 발신 : #{발신 스페이스} ■ 제목 : #{제목}  #{수신자}님께 온 문서를 확인해 주세요.  #{추가 메시지},서비스이용,이용안내/공지,(공용) 문서 도착 알림_기본형_01,doc_received_non_01,문서 확인,,기타,공지/안내,,,
■ 발신 : #{발신 스페이스} ■ 제목 : #{제목}  #{수신자}님께 온 문서를 확인해 주세요.  #{추가 메시지},서비스이용,이용안내/공지,(공용) 문서 도착 알림_텍스트형_01,doc_received_txt_01,문서 확인,,기타,공지/안내,,,
■ #{제목}  > 발신 스페이스에서 발송한 문서를 확인해 주세요.  #{추가 메시지},서비스이용,이용안내/공지,(공용) 문서 도착 알림_이미지형_06,doc_received_img_06,문서 확인,,기타,공지/안내,,,
■ #{제목}  #{추가 메시지}  > #{수신자}님께 온 문서를 확인해 주세요.,서비스이용,이용안내/공지,(공용) 문서 도착 알림_이미지형_05,doc_received_img_05,문서 확인,,기타,공지/안내,,,
■ #{제목}  #{추가 메시지}  > 발신 스페이스에서 발송한 문서를 확인해 주세요.,기타,기타,(공용) 문서 도착 알림_이미지형_04,doc_received_img_04,문서 확인,,기타,공지/안내,,,
"■ #{제목}  #{추가 메시지}  > #{수신자}님, #{발신 스페이스}에서 보낸 문서를 확인해 주세요.",서비스이용,이용안내/공지,(공용) 문서 도착 알림_이미지형_03,doc_received_img_03,문서 확인,,기타,공지/안내,,,
"> #{수신자}님, 보낸 문서를 확인해 주세요.  ■ #{제목}  #{추가 메시지}",서비스이용,이용안내/공지,(공용) 문서 도착 알림_이미지형_02,doc_received_img_02,문서 확인,,기타,공지/안내,,,
"■ 발신 : #{발신 스페이스} ■ 제목 : #{제목}  발신자가 문서 발송을 취소했습니다. 취소된 문서는 확인할 수 없으며, 발신자가 재발송할 수 있습니다.  #{추가 메시지}",법적고지,주문/예약,(공용) 문서 발송 취소 알림_이미지형_01,doc_canceled_img_01,X,,기타,공지/안내,,,
■ 스페이스 : #{발신 스페이스} ■ 제목 : #{제목}  #{수신자}님이 문서 작성을 완료했습니다.,서비스이용,이용안내/공지,(공용) 문서 완료 알림_이미지형_01,doc_done_img_01,완료 문서 확인,,기타,공지/안내,,,
■ 발신 : #{발신 스페이스} ■ 제목 : #{제목}  #{수신자}님께 온 문서를 확인해 주세요.  #{추가 메시지},서비스이용,이용안내/공지,(공용) 문서 도착 알림_이미지형_01,doc_received_img_01,문서 확인,,기타,공지/안내,,,
"> #{수신자}님, 보낸 문서를 확인해주세요.  ■ #{제목}  #{추가 메시지}",서비스이용,이용안내/공지,(공용) 이미지형_문서 도착 알림 02,doc_received_02,문서 확인,,기타,공지/안내,,,
■ 스페이스 : #{발신 스페이스} ■ 제목 : #{제목}  #{수신자}님이 문서 작성을 완료했습니다.,서비스이용,이용안내/공지,(공용) 이미지형_문서 완료 알림 01,doc_done_01,완료 문서 확인,,기타,공지/안내,,,
"■ 발신 : #{발신 스페이스} ■ 제목 : #{제목}  발신자가 문서 발송을 취소했습니다. 취소된 문서는 확인할 수 없으며, 발신자가 재발송할 수 있습니다.  #{추가 메시지}",법적고지,주문/예약,(공용) 이미지형_문서 발송 취소 알림 01,doc_canceled_01,X,,기타,공지/안내,,,
■ 발신 : #{발신 스페이스} ■ 제목 : #{제목}  #{수신자}님께 온 문서를 확인해주세요.  #{추가 메시지},서비스이용,이용안내/공지,(공용) 이미지형_문서 도착 알림 01,doc_received_01,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 자료 : #{문서명}  #{요청메세지}  #{참여자명}님께 온 자료를 확인해주세요.,서비스이용,이용안내/공지,기본형) 자료 전달 안내,2024111901-data,자료 확인하기,,기타,공지/안내,,,
"안녕하세요, 귀하께서 보유하신 쿠폰이 소멸될 예정입니다. 지금 바로 확인해주세요!  쿠폰명 : #{문서명} 만료일자 : #{일자}  *이 메세지는 이용약관(계약서) 동의에 따라 지급된 쿠폰 안내 메세지 입니다.",쿠폰/포인트,쿠폰발급,기본형) 쿠폰 만료 예정 안내 (주식회사 자버),2024111802-coupon,쿠폰 확인하기,,기타,쿠폰,,,
"안녕하세요, 귀하께서 보유하신 쿠폰이 소멸될 예정입니다. 지금 바로 확인해주세요!  쿠폰명 : #{문서명} 만료일자 : #{일자}  *이 메세지는 이용약관(계약서) 동의에 따라 지급된 쿠폰 안내 메세지 입니다.",쿠폰/포인트,쿠폰발급,기본형) 쿠폰 만료 예정 안내 (자버),2024111801-coupon,쿠폰 확인하기,,소매업,쿠폰,,,
문서명  요청메세지  참여자명님께 온 문서를 확인해주세요.,서비스이용,이용안내/공지,전자문서 발급(24/11/11_제목삭제),2405291101,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  #{요청메세지}  #{참여자명}님께 온 문서를 확인해주세요.,서비스이용,이용안내/공지,"전자문서 발급(bb1c60f3-549f-4468-a2ab-6f8e0a60cbd2,1)",infobip_check_00001,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  #{요청메세지}  #{참여자명}님께 온 문서를 확인해주세요.,서비스이용,이용안내/공지,전자문서 발급 (요청메시지중간_24/11/07),24110702,문서 확인,,기타,공지/안내,,,
"> 문서명  > #{참여자명}님, 문서를 확인해주세요.  #{요청메세지}",서비스이용,이용안내/공지,알림이 도착했습니다. (요청메시지 하단),24110801,문서 확인,,기타,공지/안내,,,
안녕하세요. #{신청자 이름}고객님.  신청하신 휴대폰 내의 데이터가 안전하게 완전 삭제되었습니다.  ▶️단말기명 : #{단말기명} ▶️삭제일시 : #{삭제일시}  이용해 주셔서 감사합니다.,서비스이용,이용도구,KT 포렌식 삭제 템플릿,24070901,삭제확인서 보기,,서비스업,공지/안내,,,
"> #{문서명}  #{요청메세지}  > #{참여자명}님, 문서를 확인해주세요.",서비스이용,이용안내/공지,전자문서 발급(24/07/08/01),24070802,문서 확인,,기타,공지/안내,,,
"> #{문서명}  #{발송메세지}  > #{문서저장프로필카드명}님,  #{스페이스명}에서 보낸 문서를 확인해주세요.",서비스이용,이용안내/공지,전자문서 발급(24/07/08),24070801,문서 확인,,기타,공지/안내,,,
"■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  #{문서저장프로필카드명}님, 완료된 문서를 확인해주세요.",서비스이용,이용안내/공지,전자문서 발급 완료(06/14),24060011,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  완료된 문서를 확인해주세요.,서비스이용,이용안내/공지,전자문서 발급 완료(06/18),24060010,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  문서 요청이 취소되었습니다. 취소된 문서는 발신자가 재요청할 수 있습니다.  #{취소메세지},법적고지,주문/예약,전자문서 발급 취소(06/14) - 자버기본형,24060009,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  완료된 문서를 확인해주세요,서비스이용,이용안내/공지,전자문서 발급 완료(06/14) - 자버기본형,24060008,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  #{참여자명}님께 온 문서를 확인해주세요.  #{요청메세지},서비스이용,이용안내/공지,전자문서 발급(06/14) - 자버기본형,24060007,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  문서 요청이 취소되었습니다. 취소된 문서는 발신자가 재요청할 수 있습니다.  #{취소메세지},서비스이용,이용안내/공지,전자문서 발급 취소(06/14) - 자버부가정보,24060006,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  완료된 문서를 확인해주세요,서비스이용,방문서비스,전자문서 발급완료(06/14) - 자버부가정보,24060005,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  #{참여자명}님께 온 문서를 확인해주세요.  #{요청메세지},서비스이용,이용안내/공지,전자문서 발급(06/14) - 자버부가정보,24060004,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  #{참여자명}님께 온 문서를 확인해주세요.  #{요청메세지},서비스이용,이용안내/공지,전자문서 발급 테스트2,24041502,문서 확인,,기타,공지/안내,,,
■ 발신 : #{스페이스명} ■ 제목 : #{문서명}  #{참여자명}님께 온 문서를 확인해주세요.  #{요청메세지},서비스이용,이용안내/공지,전자문서 발급 테스트,24041501,문서 확인,,기타,공지/안내,,,
#{요청메세지}  #{참여자명}님께 온 문서를 확인해주세요.,기타,기타,전자문서 발급(24/04/08),24040801,문서 확인하기,,기타,공지/안내,,,
,,,,,,,기타,,,,
